CountyOrParish,listing_count,median_list_price,median_price_per_sqft,median_price_ratio,median_dom,median_list_to_contract
San Mateo,10363,1648950.0,1005.97,1.0,11.0,9.0
Santa Clara,27439,1499000.0,923.0,1.0,10.0,8.0
Marin,236,1277500.0,742.42,1.0,13.0,13.0
Santa Cruz,4772,1249700.0,755.13,1.0,13.0,11.0
Orange,54296,1215000.0,690.52,1.0,10.0,14.0
San Francisco,1588,1098000.0,874.93,1.0,12.0,11.0
Alameda,27053,998000.0,660.79,1.0,12.0,12.0
Monterey,5504,995000.0,633.14,1.0,12.0,10.0
Los Angeles,143786,950000.0,631.31,1.0,12.0,14.0
San Diego,70924,915000.0,606.06,1.0,9.0,12.0
San Luis Obispo,6851,900000.0,557.65,1.0,9.0,13.0
Napa,219,900000.0,503.52,1.0,12.0,13.5
Ventura,16128,899000.0,531.01,1.0,13.0,20.0
Mono,37,850000.0,714.29,1.0,8.0,45.0
Contra Costa,25976,819000.0,517.765,1.0,11.0,10.0
Sonoma,270,809500.0,504.17,1.0,11.5,11.0
Sierra,3,800000.0,236.01,1.0,2.0,47.0
San Benito,1301,799999.0,421.86,1.0,13.0,13.0
Inyo,26,782500.0,394.54,1.0,11.5,16.5
Santa Barbara,2573,779000.0,449.74,1.0,8.0,11.0
Other,118,770000.0,353.82,1.0,8.0,120.0
El Dorado,158,699000.0,385.08500000000004,1.0,11.0,16.0
Mendocino,605,695000.0,464.76,1.0,9.0,20.0
San Joaquin,2917,684950.0,328.17,1.0,11.0,13.0
Placer,348,669000.0,334.45,1.0,11.0,11.0
Nevada,78,627500.0,335.375,1.0,13.5,24.5
Riverside,78964,620000.0,333.445,1.0,12.0,18.0
Yolo,140,617000.0,343.22,1.0,10.0,10.0
Humboldt,36,593950.0,330.025,1.0,12.0,30.0
Solano,2223,560000.0,343.01,1.0,12.0,13.0
Alpine,2,558125.0,224.145,1.0,0.0,
Other State,72,542000.0,242.99,1.0,5.5,33.5
San Bernardino,53338,540000.0,338.145,1.0,10.0,15.0
Calaveras,218,525000.0,284.54,1.0,10.0,12.5
Amador,59,500000.0,265.84,1.0,11.0,26.0
Stanislaus,914,495999.5,291.27,1.0,10.0,11.0
Sacramento,1336,488888.0,318.64,1.0,11.0,12.0
Mariposa,609,470000.0,274.42,1.0,8.0,13.0
Colusa,52,467450.0,252.095,1.0,7.0,8.0
Madera,1832,459999.5,256.49,1.0,8.0,15.0
Fresno,1906,435000.0,260.94,1.0,8.0,13.0
Other County,38,430000.0,251.65499999999997,1.0,8.0,15.5
Plumas,65,429000.0,278.32,1.0,7.0,11.0
Merced,3373,426863.0,263.46,1.0,10.0,13.0
Yuba,201,425000.0,254.5,1.0,8.0,23.5
Tuolumne,164,425000.0,270.955,1.0,7.0,16.5
Sutter,114,419450.0,262.195,1.0,8.0,15.0
Shasta,168,414950.0,250.37,1.0,9.5,13.5
Tulare,527,410000.0,240.33,1.0,9.0,14.0
Butte,5514,400000.0,271.54499999999996,1.0,9.0,12.0
Foreign Country,56,388499.5,188.975,1.0,2.0,
Clark,1,385000.0,293.22,1.0,2.0,2.0
Trinity,100,385000.0,220.155,1.0,7.0,30.5
Kern,5753,379900.0,233.73,1.0,9.0,15.0
Glenn,411,369900.0,255.22,1.0,9.0,14.0
Siskiyou,112,365000.0,222.13,1.0,3.0,20.0
Kings,349,364990.0,233.97,1.0,8.0,12.0
Tehama,608,349900.0,240.88,1.0,8.0,15.0
Lake,2918,346000.0,233.60000000000002,1.0,8.0,15.0
Imperial,474,315000.0,215.69,1.0,8.0,14.0
Del Norte,10,307500.0,258.335,1.0,6.0,4.0
Lassen,30,235750.0,185.1,1.0,7.0,14.5
Modoc,12,217500.0,145.655,1.0,2.5,47.5
