,missing_count,missing_pct
FireplacesTotal,540419,100.0
TaxYear,540419,100.0
ElementarySchoolDistrict,540419,100.0
BusinessType,540419,100.0
CoveredSpaces,540419,100.0
MiddleOrJuniorSchoolDistrict,540419,100.0
TaxAnnualAmount,540419,100.0
AboveGradeFinishedArea,540419,100.0
BelowGradeFinishedArea,537393,99.44
CoBuyerAgentFirstName,526178,97.36
BuilderName,515186,95.33
LotSizeDimensions,512206,94.78
BuildingAreaTotal,492356,91.11
ElementarySchool,476070,88.09
MiddleOrJuniorSchool,475943,88.07
BuyerAgencyCompensation,461426,85.38
BuyerAgencyCompensationType,461406,85.38
HighSchool,455965,84.37
CoListAgentFirstName,419867,77.69
CoListAgentLastName,419466,77.62
CoListOfficeName,419381,77.6
ClosePrice,396787,73.42
BuyerOfficeAOR,395432,73.17
BuyerOfficeName,385383,71.31
BuyerAgentFirstName,383881,71.03
BuyerAgentMlsId,383268,70.92
BuyerAgentLastName,383160,70.9
CloseDate,376492,69.67
SubdivisionName,341428,63.18
AssociationFeeFrequency,309493,57.27
PurchaseContractDate,275575,50.99
MainLevelBedrooms,246523,45.62
HighSchoolDistrict,162590,30.09
AssociationFee,129917,24.04
Stories,94476,17.48
AttachedGarageYN,94457,17.48
Latitude,80155,14.83
Longitude,80155,14.83
MLSAreaMajor,73099,13.53
Levels,58274,10.78
ListAgentEmail,47237,8.74
LotSizeAcres,44556,8.24
LotSizeSquareFeet,43892,8.12
LotSizeArea,43717,8.09
NewConstructionYN,37131,6.87
GarageSpaces,30037,5.56
ContractStatusChangeDate,6056,1.12
ListAgentFirstName,4238,0.78
PropertySubType,1251,0.23
YearBuilt,934,0.17
StreetNumberNumeric,862,0.16
OriginalListPrice,771,0.14
UnparsedAddress,682,0.13
FireplaceYN,572,0.11
City,576,0.11
LivingArea,552,0.1
BedroomsTotal,147,0.03
ListAgentFullName,90,0.02
ListAgentLastName,39,0.01
BathroomsTotalInteger,55,0.01
StateOrProvince,54,0.01
ListingKey,0,0.0
ListOfficeName,0,0.0
PropertyType,0,0.0
ListPrice,0,0.0
ParkingTotal,20,0.0
ListingKeyNumeric,0,0.0
MlsStatus,0,0.0
CountyOrParish,0,0.0
DaysOnMarket,0,0.0
ListingId,0,0.0
ListingContractDate,0,0.0
PostalCode,13,0.0
