,missing_count,missing_pct
AboveGradeFinishedArea,907611,100.0
CoveredSpaces,907611,100.0
ElementarySchoolDistrict,907611,100.0
FireplacesTotal,907611,100.0
MiddleOrJuniorSchoolDistrict,907611,100.0
TaxYear,907244,99.96
WaterfrontYN,907289,99.96
BusinessType,905979,99.82
TaxAnnualAmount,905103,99.72
BelowGradeFinishedArea,903249,99.52
BasementYN,892812,98.37
BuilderName,870325,95.89
LotSizeDimensions,863201,95.11
OriginatingSystemSubName,847242,93.35
BuyerAgencyCompensationType,839864,92.54
BuyerAgencyCompensation,839831,92.53
CoBuyerAgentFirstName,832567,91.73
OriginatingSystemName,817448,90.07
BuildingAreaTotal,812497,89.52
latfilled,811818,89.45
lonfilled,811818,89.45
ElementarySchool,801950,88.36
MiddleOrJuniorSchool,801285,88.29
HighSchool,768377,84.66
CoListAgentFirstName,715173,78.8
CoListAgentLastName,714760,78.75
CoListOfficeName,707867,77.99
AssociationFeeFrequency,601846,66.31
PricePerSqFt,591475,65.17
YrMo,591475,65.17
CloseMonth,591475,65.17
PriceRatio,591475,65.17
CloseYear,591475,65.17
SubdivisionName,580848,64.0
MainLevelBedrooms,406141,44.75
Flooring,360605,39.73
HighSchoolDistrict,281938,31.06
AssociationFee,251567,27.72
AttachedGarageYN,211043,23.25
Stories,162633,17.92
BuyerAgentAOR,111116,12.24
MLSAreaMajor,109472,12.06
Levels,109181,12.03
ListAgentAOR,105456,11.62
PoolPrivateYN,97135,10.7
NewConstructionYN,94138,10.37
ViewYN,88632,9.77
GarageSpaces,87312,9.62
LotSizeAcres,83212,9.17
LotSizeSquareFeet,81518,8.98
LotSizeArea,80964,8.92
ListAgentEmail,65116,7.17
FireplaceYN,51883,5.72
PropertySubType,45978,5.07
BuyerOfficeAOR,42463,4.68
LivingArea,41756,4.6
BedroomsTotal,39388,4.34
Latitude,31920,3.52
Longitude,31748,3.5
BathroomsTotalInteger,27467,3.03
YearBuilt,25074,2.76
ParkingTotal,19052,2.1
BuyerOfficeName,12621,1.39
PurchaseContractDate,11968,1.32
ListAgentFirstName,5301,0.58
BuyerAgentFirstName,3846,0.42
BuyerAgentMlsId,2190,0.24
OriginalListPrice,2217,0.24
StreetNumberNumeric,1814,0.2
ContractStatusChangeDate,1222,0.13
UnparsedAddress,1196,0.13
ListPrice,910,0.1
City,669,0.07
BuyerAgentLastName,453,0.05
PostalCode,166,0.02
ListAgentFullName,220,0.02
ListingContractDate,84,0.01
ListAgentLastName,80,0.01
ListingKey,0,0.0
ClosePrice,7,0.0
CloseDate,0,0.0
ListOfficeName,0,0.0
DaysOnMarket,0,0.0
PropertyType,0,0.0
MlsStatus,0,0.0
ListingId,0,0.0
ListingKeyNumeric,0,0.0
CountyOrParish,0,0.0
StateOrProvince,0,0.0
