CountyOrParish,sale_count,median_close_price,median_price_per_sqft,median_price_ratio,median_dom,median_list_to_contract
Del Norte,1,2485000.0,390.91,0.7646,320.0,320.0
Other County,4,2462500.0,242.67,0.98935,22.0,22.0
San Mateo,7004,1700000.0,1050.2649999999999,1.0128,12.0,12.0
Santa Clara,17858,1600000.0,967.615,1.0246,9.0,9.0
Santa Cruz,2902,1200000.0,735.365,0.9828,18.0,18.0
San Francisco,918,1180000.0,881.45,1.0016500000000002,17.0,17.0
Orange,44722,1175000.0,671.98,0.9947,14.0,25.0
Marin,139,1170000.0,674.55,0.9747,22.0,27.0
Alameda,18742,1135000.0,701.065,1.0194,14.0,14.0
Alpine,1,1100000.0,267.12,0.6667,231.0,231.0
Mono,13,915000.0,596.8,0.9196,73.0,83.0
Monterey,3843,905000.0,591.72,0.9795,19.0,21.0
Los Angeles,98689,900000.0,608.27,1.0,19.0,25.0
San Diego,48930,896000.0,591.16,0.992,15.0,21.0
Ventura,12312,866280.5,515.8,0.9898,28.0,35.0
San Luis Obispo,5744,865000.0,533.33,0.9831,18.0,30.0
Contra Costa,18077,820000.0,520.47,1.0,15.0,15.0
Napa,109,820000.0,468.99,0.9868,35.0,37.0
San Benito,799,779000.0,410.15,0.9862,31.0,32.0
Sonoma,155,738000.0,472.38,0.9769,29.0,31.0
Santa Barbara,1964,715000.0,423.865,0.99415,15.0,23.0
El Dorado,84,689750.0,358.625,0.96225,37.0,37.0
Mendocino,425,645000.0,421.28,0.9399,54.0,70.0
San Joaquin,1673,640000.0,317.03,0.985,23.0,25.0
Placer,194,630000.0,324.175,0.9827,22.0,24.0
Yolo,86,607500.0,329.98,0.9794499999999999,20.0,22.0
Riverside,54977,600000.0,320.92,0.9857,30.0,38.0
Other,11,599000.0,294.6,0.9074,138.0,162.0
Inyo,7,597500.0,334.36,0.9788,44.0,46.0
Solano,1502,570000.0,338.94500000000005,1.0,22.0,23.0
Humboldt,10,537000.0,305.515,0.8662000000000001,81.0,107.5
San Bernardino,37120,530000.0,332.34,0.9921,25.0,32.0
Nevada,48,517500.0,305.91999999999996,0.9479,30.5,36.0
Calaveras,88,485000.0,272.13,0.95295,51.0,53.0
Stanislaus,606,472050.0,287.47,0.9902,19.0,22.0
Sacramento,854,472000.0,315.22,0.9933,18.0,20.0
Colusa,24,437500.0,215.85,1.0,8.0,12.5
Madera,1203,427990.0,245.54,0.973,37.0,45.0
Other State,15,421000.0,216.14499999999998,0.9394,44.0,45.0
Merced,2463,415000.0,257.94500000000005,0.9855,24.0,28.0
Yuba,153,414000.0,247.42,0.9725,34.0,51.0
Sutter,93,412000.0,254.35,0.9907,27.0,36.0
Fresno,1293,410000.0,254.8,0.9848,23.0,28.0
Amador,23,408136.0,226.99,0.89445,78.0,78.0
Mariposa,347,399950.0,249.42,0.9571,42.0,47.0
Butte,3946,399000.0,267.4,0.9811,23.0,30.0
Plumas,40,396350.0,244.985,0.9381999999999999,63.5,64.0
Tuolumne,79,389000.0,255.12,0.94,50.0,51.0
Tulare,344,388000.0,232.795,0.98795,24.5,31.0
Clark,1,375000.0,285.61,0.974,2.0,2.0
Kern,3496,369000.0,228.38,0.9847,27.0,33.0
Shasta,91,354000.0,220.99,0.9573,44.0,53.0
Trinity,31,350000.0,189.83,0.9168,136.0,136.0
Kings,224,350000.0,231.79,1.0,20.0,25.5
Glenn,341,350000.0,243.45,0.9773,23.0,32.0
Siskiyou,52,337000.0,200.0,0.96105,61.0,62.5
Tehama,385,325000.0,227.59,0.9532,37.0,52.0
Lake,1718,310000.0,213.57,0.9397,52.0,58.0
Imperial,277,307000.0,210.86,0.9857,40.0,48.0
Modoc,2,282000.0,104.86,0.98565,46.5,50.5
Sierra,1,255000.0,222.9,0.9444,1.0,47.0
Foreign Country,4,225000.0,124.435,0.9403,310.0,313.5
Lassen,13,135000.0,139.65,0.8894,150.0,150.0
