,missing_count,missing_pct
TaxYear,397463,100.0
FireplacesTotal,397463,100.0
TaxAnnualAmount,397463,100.0
AboveGradeFinishedArea,397463,100.0
ElementarySchoolDistrict,397463,100.0
BusinessType,397463,100.0
CoveredSpaces,397463,100.0
MiddleOrJuniorSchoolDistrict,397463,100.0
WaterfrontYN,397215,99.94
BelowGradeFinishedArea,395173,99.42
BasementYN,389688,98.04
LotSizeDimensions,378155,95.14
BuilderName,377919,95.08
BuildingAreaTotal,369695,93.01
CoBuyerAgentFirstName,361453,90.94
OriginatingSystemSubName,358351,90.16
OriginatingSystemName,358351,90.16
BuyerAgencyCompensation,351338,88.4
BuyerAgencyCompensationType,351327,88.39
ElementarySchool,344493,86.67
MiddleOrJuniorSchool,344139,86.58
latfilled,333579,83.93
lonfilled,333579,83.93
HighSchool,328225,82.58
CoListAgentFirstName,306498,77.11
CoListAgentLastName,306263,77.05
CoListOfficeName,303408,76.34
SubdivisionName,249792,62.85
AssociationFeeFrequency,231973,58.36
MainLevelBedrooms,166752,41.95
Flooring,142521,35.86
HighSchoolDistrict,108785,27.37
AssociationFee,90952,22.88
Stories,61481,15.47
AttachedGarageYN,60644,15.26
MLSAreaMajor,53098,13.36
BuyerAgentAOR,49077,12.35
ListAgentAOR,46186,11.62
Levels,38559,9.7
PoolPrivateYN,34425,8.66
ViewYN,33853,8.52
LotSizeAcres,31340,7.89
LotSizeSquareFeet,30962,7.79
LotSizeArea,30839,7.76
NewConstructionYN,29441,7.41
ListAgentEmail,28872,7.26
BuyerOfficeAOR,21433,5.39
GarageSpaces,17034,4.29
Longitude,15815,3.98
Latitude,15815,3.98
BuyerOfficeName,6536,1.64
ListAgentFirstName,2998,0.75
BuyerAgentFirstName,1951,0.49
PropertySubType,776,0.2
OriginalListPrice,718,0.18
ContractStatusChangeDate,589,0.15
BuyerAgentMlsId,503,0.13
ParkingTotal,426,0.11
StreetNumberNumeric,444,0.11
UnparsedAddress,361,0.09
YearBuilt,356,0.09
FireplaceYN,316,0.08
City,310,0.08
LivingArea,229,0.06
PurchaseContractDate,194,0.05
BuyerAgentLastName,167,0.04
ListAgentFullName,85,0.02
BathroomsTotalInteger,69,0.02
ListAgentLastName,40,0.01
ListPrice,0,0.0
CloseDate,0,0.0
ClosePrice,2,0.0
ListingKey,0,0.0
PropertyType,0,0.0
ListOfficeName,0,0.0
DaysOnMarket,0,0.0
ListingId,0,0.0
MlsStatus,0,0.0
CountyOrParish,0,0.0
ListingKeyNumeric,0,0.0
StateOrProvince,0,0.0
ListingContractDate,1,0.0
BedroomsTotal,11,0.0
PostalCode,2,0.0
